gid,animal,id,time,x,y,geom,label
55,767,56,13138.2515277778,1231554.20992793,5781988.03127301,0101000020110F00003AD6BD35C2CA324183600002790E5641,1
56,767,57,13138.5009375,1231443.9479723,5781828.20117355,0101000020110F00000A50AEF253CA32410707E00C510E5641,1
57,767,58,13138.7512037037,1231484.75769762,5781771.65547464,0101000020110F0000A278F8C17CCA3241E84BF3E9420E5641,1
58,767,59,13139.0013425926,1231317.62261415,5781681.53250558,0101000020110F000014A4639FD5C93241499214622C0E5641,1
59,767,60,13139.2518402778,1231460.8685349,5781837.8178249,0101000020110F00009F4D58DE64CA3241403E5774530E5641,1
60,767,61,13139.5014699074,1231612.40775772,5781959.00455364,0101000020110F000058CF6268FCCA32415A9B4AC0710E5641,1
61,767,62,13140.0021527778,1231594.04004174,5781973.894559599,0101000020110F0000EC2C400AEACA3241E8764079750E5641,1
62,767,63,13141.0018518519,1231927.6311597999,5781636.76787146,0101000020110F00004BB093A137CC324156CE2431210E5641,1
63,767,64,13141.2516203704,1231536.43220525,5782011.67265249,0101000020110F0000D600A56EB0CA324108BD0CEB7E0E5641,1
64,767,65,13141.75125,1231456.43801917,5782061.96889533,0101000020110F00003A06227060CA32418F61027E8B0E5641,1
65,767,66,13142.000625,1231614.92357821,5781978.9113272,0101000020110F00001F9F6FECFECA3241522F53BA760E5641,1
66,767,67,13142.2516666667,1231557.43819316,5781973.49385943,0101000020110F00004C6D2D70C5CA324195649B5F750E5641,1
67,767,68,13142.75125,1231579.07870217,5781983.12669641,0101000020110F00004ED32514DBCA324142CB1BC8770E5641,1
68,767,69,13143.0018287037,1231699.19243274,5782059.17999485,0101000020110F0000A545433153CB32411F0985CB8A0E5641,1
69,767,70,13143.7516319444,1231649.22111332,5781721.29676864,0101000020110F0000EEE19A3821CB3241E541FE52360E5641,1
70,767,71,13144.0021412037,1231829.48076476,5781709.08378374,0101000020110F00003966137BD5CB32417AB65C45330E5641,1
71,767,72,13144.2514930556,1231773.75422767,5781688.9211762,0101000020110F0000881015C19DCB3241058DF43A2E0E5641,1
72,767,73,13144.7518981481,1231771.39425447,5781629.55554554,0101000020110F000067DCED649BCB3241E10E8E631F0E5641,1
73,767,74,13145.0018518519,1231548.5771616998,5781500.69631127,0101000020110F000081DEC093BCCA3241255D902CFF0D5641,1
74,767,75,13145.2512962963,1231623.36159561,5781469.82807128,0101000020110F0000A787915C07CB3241AF1EFF74F70D5641,1
75,767,76,13146.0019444444,1231983.31316909,5781258.76976075,0101000020110F000078D92B506FCC324198C243B1C20D5641,1
76,767,77,13146.2513541667,1231761.38663224,5781397.40192181,0101000020110F00009A54FA6291CB32414116B959E50D5641,1
77,767,78,13146.5021990741,1231955.03801843,5781566.359794,0101000020110F00006993BB0953CC32416ADD06970F0E5641,1
78,767,79,13146.7519097222,1231660.97645155,5781420.52886209,0101000020110F000091BAF8F92CCB324161E0D821EB0D5641,1
79,767,80,13147.0012152778,1231567.54600292,5781364.30630141,0101000020110F0000EDD8C68BCFCA32413B719A13DD0D5641,1
80,767,81,13147.2511805556,1231628.88304235,5781463.60956035,0101000020110F00003E100FE20CCB32416A0903E7F50D5641,1
81,767,82,13147.5019907407,1231668.50164912,5781327.18806735,0101000020110F0000A4136C8034CB3241A34B09CCD30D5641,1
82,767,83,13147.7506134259,1231888.70273386,5781516.6593685,0101000020110F0000C25DE6B310CC3241F017332A030E5641,1
83,767,84,13148.0015277778,1231934.06542636,5781608.25517723,0101000020110F00002CC8BF103ECC3241E0D254101A0E5641,1
84,767,85,13148.5012615741,1231997.18357764,5781631.4467771,0101000020110F0000B8F1FE2E7DCC3241FAFE97DC1F0E5641,1
85,767,86,13148.7516203704,1231984.09240553,5781665.39284954,0101000020110F000089E3A71770CC324166722459280E5641,1
86,767,87,13149.5019907407,1231957.15308875,5781627.96883462,0101000020110F000007D3302755CC3241EC6201FE1E0E5641,1
87,767,88,13150.2512847222,1232048.12337663,5781368.42521693,0101000020110F00005F9C951FB0CC324112C1361BDE0D5641,1
88,767,89,13151.7521990741,1231645.94832029,5781828.3293955,0101000020110F0000581EC5F21DCB3241DDD01415510E5641,1
89,767,90,13152.251412037,1231919.24880214,5781668.26176341,0101000020110F00003E7FB13F2FCC324151BBC010290E5641,1
90,767,91,13153.2520949074,1231966.50392598,5781418.87808057,0101000020110F0000044B01815ECC3241D97832B8EA0D5641,1
91,767,92,13154.251875,1231952.76710082,5781497.69923445,0101000020110F000027B860C450CC3241DA41C06CFE0D5641,1
92,767,93,13154.5021990741,1231808.31892956,5781280.56611876,0101000020110F00001E5EA551C0CB32412E4A3B24C80D5641,1
93,767,94,13155.7522337963,1232131.44601549,5781411.16909521,0101000020110F000037122E7203CD3241B774D2CAE80D5641,1
94,767,95,13156.0018518519,1231924.29157507,5781417.00292135,0101000020110F0000EEA9A44A34CC324108DD2F40EA0D5641,1
95,767,96,13156.2512384259,1231983.92542629,5781366.46993384,0101000020110F0000C2BCE8EC6FCC32416365139EDD0D5641,1
96,767,97,13156.7516435185,1231841.84836019,5781559.08341633,0101000020110F000027222ED9E1CB324172B156C50D0E5641,1
97,767,98,13157.002037037,1231727.22268052,5781900.13397844,0101000020110F00002F9701396FCB32414F1A9308630E5641,2
98,767,99,13157.2512384259,1231447.93321007,5781985.88351691,0101000020110F0000EBDAE6EE57CA3241828A8B78780E5641,2
99,767,100,13157.5015277778,1231396.51473727,5781754.16933521,0101000020110F00005DD2C58324CA32415963D68A3E0E5641,2
100,767,101,13158.0015740741,1231879.21831325,5781592.1316819005,0101000020110F00008D60E33707CC3241EC796D08160E5641,1
101,767,102,13158.2509953704,1231685.63371876,5781672.3167103,0101000020110F000085643BA245CB324147FB44142A0E5641,1
102,767,103,13159.0012615741,1232067.33712074,5781700.97385818,0101000020110F0000798B4D56C3CC324143B1533E310E5641,1
103,767,104,13159.5021643519,1232045.5073686,5781584.79117386,0101000020110F000098E8E281ADCC3241B097A232140E5641,1
104,767,105,13160.7512731481,1231543.25609003,5781688.84103874,0101000020110F0000C01D8F41B7CA32412794D3352E0E5641,2
105,767,106,13161.0012384259,1231438.81614377,5782105.61369932,0101000020110F000051CCEED04ECA324183D94667960E5641,2
106,767,107,13161.5015740741,1231701.11825993,5782071.87430757,0101000020110F00006448461E55CB3241BDA7F4F78D0E5641,2
107,767,108,13161.751875,1231902.66219801,5781846.88954223,0101000020110F00000CCF85A91ECC32418942EEB8550E5641,1
108,767,109,13162.2521759259,1231551.04845439,5781990.98043148,0101000020110F0000C481670CBFCA3241AE63BFBE790E5641,2
109,767,110,13162.5017361111,1231457.2172556003,5781898.80366503,0101000020110F000022109E3761CA3241733F6FB3620E5641,2
110,767,111,13162.7521875,1231608.23327681,5781906.97788311,0101000020110F00006E07B83BF8CA32410AA395BE640E5641,2
111,767,112,13163.0018055556,1231481.57396019,5782035.60260115,0101000020110F0000150EEF9279CA32416A0491E6840E5641,2
112,767,113,13163.25125,1231568.41429495,5782035.24998255,0101000020110F0000DD3B0F6AD0CA3241CFB6FFCF840E5641,2
113,767,114,13163.5010648148,1231732.2765853999,5782082.83759228,0101000020110F0000FF4CCE4674CB3241A61C9BB5900E5641,2
114,767,115,13163.7512847222,1231811.62511844,5782140.50725758,0101000020110F000018C307A0C3CB32417FE876209F0E5641,2
115,767,116,13164.0012962963,1231625.22063111,5781984.12043393,0101000020110F0000CA477B3809CB32418430B507780E5641,2
116,767,117,13164.5009953704,1231752.67031611,5782060.20579723,0101000020110F00002AD699AB88CB324125C82B0D8B0E5641,2
117,767,118,13168.2520949074,1231610.71570146,5781971.20185484,0101000020110F0000FC3538B7FACA32419030EBCC740E5641,2
118,767,119,13168.5019328704,1231669.31428141,5781981.684174401,0101000020110F00001ABF745035CB32416D83C96B770E5641,2
119,767,120,13168.7512962963,1231781.91394635,5782115.487103799,0101000020110F00005463F8E9A5CB32416AB52CDF980E5641,2
120,767,121,13169.0013078704,1231594.07343758,5781975.60955651,0101000020110F000024CECC12EACA32414FF902E7750E5641,2
121,767,122,13169.7516782407,1231567.82430165,5781988.44800186,0101000020110F0000D56E05D3CFCA3241FE0FAC1C790E5641,2
122,767,123,13170.0012962963,1231606.97536657,5781993.43272161,0101000020110F0000A09FB1F9F6CA3241FBB5B15B7A0E5641,2
123,767,124,13170.2521527778,1231295.33645209,5781879.81065801,0101000020110F000063B92156BFC9324122D2E1F35D0E5641,2
124,767,125,13170.7519097222,1231628.44889634,5781430.40150361,0101000020110F0000DCDEEA720CCB3241333CB299ED0D5641,0
125,767,126,13171.2521875,1231829.97057052,5781786.78558096,0101000020110F0000424F77F8D5CB32415DF546B2460E5641,2
126,767,127,13171.5009606481,1231643.71079853,5781964.6624324005,0101000020110F000078E4F6B51BCB3241DE4A652A730E5641,2
127,767,128,13172.0012731481,1231606.79725538,5781971.53844289,0101000020110F0000B8ED18CCF6CA32412BD975E2740E5641,2
128,767,129,13172.5012384259,1231460.49004863,5782008.43498188,0101000020110F0000B7D3737D64CA32413DBED61B7E0E5641,2
129,767,130,13172.7516782407,1231569.27145503,5782002.98543996,0101000020110F0000AC137E45D1CA3241C47211BF7C0E5641,2
130,767,131,13173.00125,1231610.53759027,5781961.32861105,0101000020110F000014849F89FACA3241A4F60755720E5641,2
131,767,132,13173.2512384259,1231596.61152197,5781975.20885627,0101000020110F00002EB48C9CECCA3241B0E65DCD750E5641,2
132,767,133,13173.501724537,1231359.53440243,5781903.80436225,0101000020110F00000099CE88FFC93241CDAB7AF3630E5641,2
133,767,134,13173.7512847222,1231445.72908415,5781470.77366997,0101000020110F00004442A5BA55CA32410DCF83B1F70D5641,0
134,767,135,13174.2516087963,1231598.10320315,5781494.76626721,0101000020110F00008A856B1AEECA3241A0850AB1FD0D5641,2
135,767,136,13174.5005555556,1231453.52144851,5781484.14027926,0101000020110F000049A67D855DCA3241DD55FA08FB0D5641,0
136,767,137,13175.2511805556,1231466.00036342,5781480.75855726,0101000020110F00002DD117006ACA3241C0338C30FA0D5641,0
137,767,138,13175.5008912037,1231811.26889607,5781373.61793805,0101000020110F0000735FD644C3CB3241094C8C67DF0D5641,2
138,767,139,13175.7511574074,1232007.95930435,5781553.77839584,0101000020110F00004AF894F587CC3241C93CD1710C0E5641,2
139,767,140,13176.5021759259,1232233.57051634,5781597.85343583,0101000020110F0000DE5B0D9269CD324151B19E76170E5641,0
140,767,141,13176.7513194444,1232086.07219104,5781705.28526037,0101000020110F0000AC1C7B12D6CC3241B6B44152320E5641,2
141,767,142,13177.2519907407,1232146.70791768,5781695.71683531,0101000020110F0000D4173AB512CD324135A1E0ED2F0E5641,2
142,767,143,13177.5013078704,1232049.73750925,5781647.8267826,0101000020110F0000FD67CDBCB1CC32419101EAF4230E5641,2
143,767,144,13177.7513541667,1232136.53331622,5781649.31733255,0101000020110F00006B69878808CD32412F2D4F54240E5641,2
144,767,145,13178.0021180556,1231993.98870826,5782034.86530773,0101000020110F00000AFC1BFD79CC3241AC3361B7840E5641,2
145,767,146,13178.2505555556,1231996.34868146,5782054.62799825,0101000020110F00002B3043597CCC3241921F31A8890E5641,2
146,767,147,13178.5018634259,1231773.64290818,5782105.98234896,0101000020110F000067A195A49DCB32412CCEDE7E960E5641,2
147,767,148,13179.2512847222,1231560.68872229,5781971.71475092,0101000020110F0000A01A50B0C8CA3241A57ABEED740E5641,2
148,767,149,13181.2509606481,1232090.02403297,5781692.65558256,0101000020110F000054062706DACC32418E10F5292F0E5641,2
149,767,150,13181.5020486111,1232125.22325595,5781607.58202872,0101000020110F00004C4D2739FDCC324163F53FE5190E5641,2
150,767,151,13181.7511342593,1232164.55243205,5781533.77641362,0101000020110F0000D42F6C8D24CD3241C1C2B071070E5641,2
151,767,152,13182.0012731481,1232144.6262432,5781534.24120275,0101000020110F00006F7951A010CD3241A9DD6F8F070E5641,2
152,767,153,13182.7509837963,1232079.43754939,5782044.00133924,0101000020110F0000A03C0370CFCC32412EF11500870E5641,0
153,767,154,13183.0011805556,1232082.16487691,5782059.46850176,0101000020110F0000885F352AD2CC3241CEEEFBDD8A0E5641,0
154,767,155,13183.2509722222,1232073.98289434,5782051.678818599,0101000020110F0000A6F69EFBC9CC324191C371EB880E5641,0
155,767,156,13183.5016435185,1231674.2123389998,5782008.5792345,0101000020110F000044D95B363ACB3241952D12257E0E5641,2
156,767,157,13183.7511805556,1231561.86870889,5781777.84214635,0101000020110F0000B0B463DEC9CA3241CEB9E575440E5641,2
157,767,158,13184.0021180556,1231701.46335035,5781741.39533947,0101000020110F0000E8209E7655CB3241EC3D4D593B0E5641,2
158,767,159,13184.2507175926,1231628.49342414,5781981.15524972,0101000020110F0000600B517E0CCB3241869CEF49770E5641,2
159,767,160,13184.5016203704,1231740.20253314,5781886.78276978,0101000020110F00003D36D9337CCB32416BE618B25F0E5641,2
160,767,161,13184.7520833333,1231880.10886918,5781613.65639445,0101000020110F0000C0D9DE1B08CC3241DE5D026A1B0E5641,2
161,767,162,13185.0018634259,1231645.36945894,5781425.56134357,0101000020110F000071DC945E1DCB3241950DED63EC0D5641,2
162,767,163,13185.2509027778,1231649.94469001,5781411.85825579,0101000020110F00005A34D7F121CB3241B1A9EDF6E80D5641,2
163,767,164,13185.5015856481,1231586.90446237,5781516.09841721,0101000020110F00008CD88AE7E2CA3241B3774C06030E5641,2
164,767,165,13185.750474537,1231586.71521924,5781669.54395986,0101000020110F0000AD9B18B7E2CA3241043DD062290E5641,2
165,767,166,13186.001724537,1231589.99914422,5781972.80465519,0101000020110F000065EAC7FFE5CA32417B787F33750E5641,2
166,767,167,13186.2506365741,1231603.14597608,5781975.89806069,0101000020110F00003AB05E25F3CA32418BD379F9750E5641,2
167,767,168,13186.7522106481,1231324.62461012,5782087.29343409,0101000020110F0000E672E69FDCC93241C79FC7D2910E5641,2
168,767,169,13187.0014930556,1231620.13333038,5781948.90693197,0101000020110F000096F0212204CB3241642C0B3A6F0E5641,2
169,767,170,13187.2509722222,1231606.45216496,5781998.12893924,0101000020110F00003415C173F6CA32415F8A40887B0E5641,2
170,767,171,13187.5008912037,1231582.21791181,5781813.13510742,0101000020110F00008111C937DECA32419899A5484D0E5641,2
171,767,172,13187.750775463,1232167.95880847,5781406.31291868,0101000020110F0000CE7874F527CD324112DC0694E70D5641,0
172,767,173,13188.0012384259,1231664.83923788,5781434.23196327,0101000020110F0000304BD8D630CB3241797CD88EEE0D5641,2
173,767,174,13188.2509837963,1231651.3250517,5781437.96626235,0101000020110F00009596365323CB32410A3ED77DEF0D5641,2
174,767,175,13188.5016666667,1231640.99460295,5781468.52987663,0101000020110F0000874C9EFE18CB3241AB7FE921F70D5641,2
175,767,176,13189.0010532407,1231652.80560092,5781831.64713909,0101000020110F0000A5DC3BCE24CB324113BA6AE9510E5641,2
176,767,177,13189.2520833333,1232109.70531894,5781720.36717077,0101000020110F000035C88FB4EDCC3241D4B97F17360E5641,2
177,767,178,13190.0021296296,1231557.49385291,5781760.27585661,0101000020110F0000F1246D7EC5CA32417CA2A711400E5641,2
178,767,179,13190.2508333333,1231551.32675312,5781748.73597718,0101000020110F0000AC17A653BFCA324108401A2F3D0E5641,2
179,767,180,13190.5016666667,1231685.45560757,5781749.55338481,0101000020110F00009DB2A27445CB32411FA86A633D0E5641,2
180,767,181,13192.7512847222,1232064.50960567,5781678.7918072,0101000020110F000067847582C0CC32411BF8ACB22B0E5641,2
181,767,182,13193.0022337963,1232159.28702014,5781594.37550653,0101000020110F0000E3267A491FCD32418A4C0898160E5641,2
182,767,183,13193.2506597222,1231974.40760982,5781458.8174634,0101000020110F0000FE1D596866CC3241025251B4F40D5641,2
183,767,184,13193.5013078704,1231684.87674622,5781406.79372812,0101000020110F0000B67072E044CB32410771CCB2E70D5641,2
184,767,185,13193.7507060185,1231639.48065788,5781228.79985599,0101000020110F000013650C7B17CB32412ED73033BB0D5641,0
185,767,186,13194.0013773148,1231603.98087226,5781978.94338323,0101000020110F0000C6711AFBF3CA32410E6460BC760E5641,2
186,767,187,13194.2515162037,1231571.99878256,5781996.42996602,0101000020110F0000BF36B0FFD3CA32413390841B7B0E5641,2
187,767,188,13194.5009027778,1231510.67287508,5781686.7254101,0101000020110F00008F8A41AC96CA32417C1E6DAE2D0E5641,2
188,767,189,13194.7513078704,1231526.01270091,5781553.93866832,0101000020110F0000E95D4003A6CA32414A24137C0C0E5641,2
189,767,190,13195.0015972222,1231789.41688003,5781678.31098301,0101000020110F00004FA6B86AADCB32414825E7932B0E5641,2
190,767,191,13195.2509722222,1231888.44669903,5781733.75018395,0101000020110F00001DDE5A7210CC32418B030370390E5641,2
191,767,192,13195.7521180556,1232309.77983974,5781542.03043126,0101000020110F0000C393A3C7B5CD3241F595F281090E5641,0
192,767,193,13196.0015162037,1232047.04357757,5781661.56229,0101000020110F00004EE6270BAFCC3241328FFC63270E5641,2
193,767,194,13200.2509722222,1231871.3591572,5781714.51711747,0101000020110F0000ECB9F15BFFCB3241DF7318A1340E5641,2
194,767,195,13200.7521875,1232001.9591838,5782140.3309462005,0101000020110F0000CC118DF581CC3241F9382E159F0E5641,0
195,767,196,13201.0016550926,1231987.67689313,5782095.83647519,0101000020110F000040DE48AD73CC32413CCF88F5930E5641,0
196,767,197,13201.5011111111,1231917.34523884,5782054.48374488,0101000020110F0000979261582DCC324116ADF59E890E5641,0
197,767,198,13201.7520486111,1231529.99793868,5781988.560198099,0101000020110F0000CAE878FFA9CA32412149DA23790E5641,0
198,767,199,13202.2512962963,1231630.56396667,5781977.58100196,0101000020110F0000A41E60900ECB3241D8222F65760E5641,0
199,767,200,13202.5013194444,1231559.08572162,5781768.94680367,0101000020110F000022DAF115C7CA32416C6E983C420E5641,2
200,767,201,13202.7519791667,1231577.38664591,5781677.97440609,0101000020110F0000F339FB62D9CA32415CAB5C7E2B0E5641,2
201,767,202,13203.2519560185,1232043.09173565,5781544.93135967,0101000020110F0000D1FC7B17ABCC324197659B3B0A0E5641,2
202,767,203,13204.7521180556,1232002.4823853998,5781369.37080481,0101000020110F00000C9C7D7B82CC32411944BB57DE0D5641,0
203,767,204,13205.0022222222,1232257.30383178,5781346.74083103,0101000020110F000067EBC74D81CD32418DC669AFD80D5641,0
204,767,205,13205.2516319444,1232045.51850054,5781340.36213781,0101000020110F00008E73BC84ADCC324111442D17D70D5641,0
205,767,206,13205.7521527778,1232073.52648443,5781676.17932942,0101000020110F000001AFC786C9CC32411B227A0B2B0E5641,0
206,767,207,13206.7515972222,1231998.97582144,5782094.07337035,0101000020110F0000146FCFF97ECC32418D19B284930E5641,0
207,767,208,13207.2508333333,1231770.20313591,5782437.42061082,0101000020110F00000AB700349ACB3241A549EB5AE90E5641,0
208,767,209,13207.5012962963,1231819.95181635,5782111.51209548,0101000020110F00007F3CAAF3CBCB32411F2CC6E0970E5641,0
209,767,210,13207.7506365741,1231767.50920424,5782099.17034713,0101000020110F000086355B8297CB3241A6F7E6CA940E5641,0
210,767,211,13208.0019675926,1231689.29613001,5782024.2547005,0101000020110F0000242DCF4B49CB324153034D10820E5641,0
211,767,212,13208.2516898148,1231646.92793181,5782060.830895599,0101000020110F000069F08CED1ECB3241BC642D358B0E5641,0
212,767,213,13208.7509606481,1231603.91408057,5781964.48612451,0101000020110F00002A2F01EAF3CA3241FAA91C1F730E5641,0
213,767,214,13209.0015046296,1231753.27144137,5781697.81643858,0101000020110F00007F2E7D4589CB32419A874074300E5641,0
214,767,215,13209.2520717593,1231858.95816593,5781511.40245491,0101000020110F0000C55C4AF5F2CB32413DD2C1D9010E5641,0
215,767,216,13209.500625,1231575.54987431,5781329.17539546,0101000020110F00001290C48CD7CA3241E1AD394BD40D5641,3
216,767,217,13209.7521759259,1231670.76143479,5781420.43270005,0101000020110F0000F163EDC236CB32418D5BB11BEB0D5641,3
217,767,218,13210.5013078704,1231367.8054406,5781423.91056111,0101000020110F0000EC5A31CE07CA32411BA246FAEB0D5641,3
218,767,219,13210.7509606481,1231261.87381316,5781501.3213702,0101000020110F00002138B2DF9DC9324151549154FF0D5641,3
219,767,220,13211.0011921296,1231240.34462364,5781228.59150942,0101000020110F00003F41395888C93241544ADB25BB0D5641,3
220,767,221,13211.5014236111,1231317.23299593,5781430.83423328,0101000020110F00000B9FA53BD5C93241FC1364B5ED0D5641,3
221,767,222,13212.0015625,1231498.48339084,5781415.2720055,0101000020110F00008980BF7B8ACA3241C28968D1E90D5641,3
222,767,223,13212.2508912037,1231629.19473693,5781496.83376861,0101000020110F00008A47DA310DCB324104775C35FE0D5641,3
223,767,224,13212.5016319444,1231861.84134073,5781727.27504691,0101000020110F0000281B62D7F5CB32415B5E9AD1370E5641,0
224,767,225,13213.7522222222,1232246.90659134,5781601.26725716,0101000020110F0000BC5E16E876CD3241C6BD1A51180E5641,0
225,767,226,13214.0021412037,1231740.15800535,5781337.49333005,0101000020110F0000E30973287CCB324134B8925FD60D5641,3
226,767,227,13214.252037037,1231519.35579536,5781393.79585548,0101000020110F00009B67155B9FCA3241D34BEF72E40D5641,3
