animal,id,time,x,y
767,303,2006-04-05 16:01:55,1231606.16273428,5781472.66486767
767,304,2006-04-06 16:02:10,1231795.1943616,5781588.71786409
767,305,2006-04-07 04:01:23,1231718.12787812,5781762.29533705
767,306,2006-04-07 08:01:17,1231705.93839388,5781194.903535
767,307,2006-04-07 16:01:53,1231845.9115216,5781315.64875164
767,308,2006-04-09 00:01:54,1231435.16486447,5781672.62123208
767,309,2006-04-09 12:03:01,1231922.97800508,5781495.45543429
767,310,2006-04-09 20:02:58,1231696.71000809,5781670.5857446
767,311,2006-04-10 00:02:31,1231697.90112665,5781745.46634741
767,312,2006-04-10 08:03:09,1231570.81879595,5781368.77780901
767,313,2006-04-10 20:02:47,1231523.34103313,5781699.67562969
767,314,2006-04-11 00:01:09,1231546.57341086,5781749.02447398
767,315,2006-04-11 16:03:05,1231894.48021544,5781806.93238338
767,316,2006-04-11 20:01:44,1231933.18600239,5781647.28185043
767,317,2006-04-12 08:02:24,1231903.64180953,5781447.51838219
767,318,2006-04-12 16:01:52,1231639.06877576,5781428.35004473
767,319,2006-04-12 20:03:01,1231966.94920394,5781384.35598212
767,320,2006-04-13 00:02:18,1231727.4898473,5781820.66813728
767,321,2006-04-13 04:02:19,1231627.34683338,5781847.37037557
767,322,2006-04-13 16:02:23,1231273.12821368,5781194.24644448
767,323,2006-04-13 20:01:51,1231542.88873571,5781528.53551708
767,324,2006-04-14 08:02:19,1231709.31137445,5781751.74916647
767,325,2006-04-14 20:03:04,1231859.67061067,5781420.35256502
767,326,2006-04-15 04:02:55,1231677.42947229,5781660.68078072
767,327,2006-04-15 08:01:12,1231775.81363825,5781190.22376942
767,328,2006-04-15 20:02:59,1232004.75330302,5781244.23354296
767,329,2006-04-16 00:02:55,1231702.92163568,5781795.26422174
767,330,2006-04-16 20:01:04,1231713.75302213,5781756.73375313
767,331,2006-04-17 04:02:52,1231722.25783123,5781555.89399275
767,332,2006-04-17 08:03:03,1231728.16889619,5781648.7884277
767,333,2006-04-17 16:02:54,1231693.5819304,5781348.90445917
767,334,2006-04-17 20:02:58,1231711.88285469,5781719.00482925
767,335,2006-04-18 08:02:38,1232105.45291439,5781393.15477717
767,336,2006-04-19 00:02:11,1231743.28608304,5781596.09043003
767,337,2006-04-19 12:01:59,1231656.42348438,5781312.42736202
767,338,2006-04-19 20:02:58,1232101.91295458,5782084.72892054
767,339,2006-04-20 04:02:35,1232080.99602226,5782103.03315223
767,340,2006-04-20 08:02:12,1232088.62140738,5782783.04130529
767,341,2006-04-20 12:03:08,1232061.7266184,5782815.70942536
767,342,2006-04-20 16:02:03,1231226.83043745,5783097.22448529
767,343,2006-04-20 20:01:52,1231099.90395405,5783213.5552356
767,344,2006-04-21 00:02:43,1229916.8894615,5782522.69447661
767,345,2006-04-21 04:01:10,1230578.49459112,5782953.09958384
767,346,2006-04-21 08:02:49,1231313.82661951,5783498.52954487
767,347,2006-04-21 16:01:23,1231119.47392053,5783192.60372552
767,348,2006-04-21 20:01:40,1230484.77471183,5783003.51337753
767,349,2006-04-22 00:00:52,1230448.32871054,5782912.59242857
767,350,2006-04-22 04:00:55,1231061.7881604,5783179.04217768
767,351,2006-04-22 08:02:24,1231448.74584235,5783336.2195462
767,352,2006-04-22 16:02:55,1231263.77737645,5783002.27907773
767,353,2006-04-22 20:01:23,1230712.91287626,5782864.42329809
